i,t,d,i,s,p,a,w,t,e,n,g
t,w,e,n,t,y,f,i,v,e,k,y
q,u,a,r,t,e,r,m,h,a,l,f
p,a,s,t,o,b,t,w,e,l,v,e
t,e,n,t,w,o,n,e,i,g,h,t
f,o,u,r,s,i,x,s,e,v,e,n
f,i,v,e,l,e,v,e,n,i,n,e
t,h,r,e,e,s,o,c,l,o,c,k
i,n,v,t,h,e,n,a,t,s,u,j
m,o,r,n,i,n,g,n,i,g,h,t
a,f,t,e,r,n,o,o,n,z,c,f
y,m,d,h,s,e,v,e,n,i,n,g
.,.,.,.,.,.,.,.,.,.,.,.
start row,0,0,0,0,1,1,2,2,3,3,3,4,4,4,4,5,5,5,6,6,6,7,6,8,8,8,9,9,10,10,11
start col,0,3,6,8,0,6,0,8,0,3,7,0,3,5,7,0,4,7,0,5,8,0,6,0,3,7,0,7,0,5,5
length,2,2,1,3,6,4,7,4,4,2,6,3,3,3,5,4,3,5,4,6,4,5,6,2,3,2,7,5,9,4,7
13:55:00,it,is,,,,five,,,,to,,,two,,,,,,,,,,,in,the,,,,afternoon,,
14:00:00,it,is,,,,,,,,,,,two,,,,,,,,,,oclock,in,the,,,,afternoon,,
14:05:00,it,is,,,,five,,,past,,,,two,,,,,,,,,,,in,the,,,,afternoon,,
14:10:00,it,is,,ten,,,,,past,,,,two,,,,,,,,,,,in,the,,,,afternoon,,
14:15:00,it,is,a,,,,quarter,,past,,,,two,,,,,,,,,,,in,the,,,,afternoon,,
14:20:00,it,is,,,twenty,,,,past,,,,two,,,,,,,,,,,in,the,,,,afternoon,,
14:25:00,it,is,,,twenty,five,,,past,,,,two,,,,,,,,,,,in,the,,,,afternoon,,
14:30:00,it,is,,,,,,half,past,,,,,,,,,,,,,three,,in,the,,,,afternoon,,
14:35:00,it,is,,,twenty,five,,,,to,,,,,,,,,,,,three,,in,the,,,,afternoon,,
14:40:00,it,is,,,twenty,,,,,to,,,,,,,,,,,,three,,in,the,,,,afternoon,,
14:45:00,it,is,a,,,,quarter,,,to,,,,,,,,,,,,three,,in,the,,,,afternoon,,
14:50:00,it,is,,ten,,,,,,to,,,,,,,,,,,,three,,in,the,,,,afternoon,,
14:55:00,it,is,,,,five,,,,to,,,,,,,,,,,,three,,in,the,,,,afternoon,,
15:00:00,it,is,,,,,,,,,,,,,,,,,,,,three,oclock,in,the,,,,afternoon,,
15:05:00,it,is,,,,five,,,past,,,,,,,,,,,,,three,,in,the,,,,afternoon,,
15:10:00,it,is,,ten,,,,,past,,,,,,,,,,,,,three,,in,the,,,,afternoon,,
15:15:00,it,is,a,,,,quarter,,past,,,,,,,,,,,,,three,,in,the,,,,afternoon,,
15:20:00,it,is,,,twenty,,,,past,,,,,,,,,,,,,three,,in,the,,,,afternoon,,
15:25:00,it,is,,,twenty,five,,,past,,,,,,,,,,,,,three,,in,the,,,,afternoon,,
15:30:00,it,is,,,,,,half,past,,,,,,,four,,,,,,,,in,the,,,,afternoon,,
15:35:00,it,is,,,twenty,five,,,,to,,,,,,four,,,,,,,,in,the,,,,afternoon,,
15:40:00,it,is,,,twenty,,,,,to,,,,,,four,,,,,,,,in,the,,,,afternoon,,
15:45:00,it,is,a,,,,quarter,,,to,,,,,,four,,,,,,,,in,the,,,,afternoon,,
15:50:00,it,is,,ten,,,,,,to,,,,,,four,,,,,,,,in,the,,,,afternoon,,
15:55:00,it,is,,,,five,,,,to,,,,,,four,,,,,,,,in,the,,,,afternoon,,
16:00:00,it,is,,,,,,,,,,,,,,four,,,,,,,oclock,in,the,,,,afternoon,,
16:05:00,it,is,,,,five,,,past,,,,,,,four,,,,,,,,in,the,,,,afternoon,,
16:10:00,it,is,,ten,,,,,past,,,,,,,four,,,,,,,,in,the,,,,afternoon,,
16:15:00,it,is,a,,,,quarter,,past,,,,,,,four,,,,,,,,in,the,,,,afternoon,,
16:20:00,it,is,,,twenty,,,,past,,,,,,,four,,,,,,,,in,the,,,,afternoon,,
16:25:00,it,is,,,twenty,five,,,past,,,,,,,four,,,,,,,,in,the,,,,afternoon,,
16:30:00,it,is,,,,,,half,past,,,,,,,,,,five,,,,,in,the,,,,afternoon,,
16:35:00,it,is,,,twenty,five,,,,to,,,,,,,,,five,,,,,in,the,,,,afternoon,,
16:40:00,it,is,,,twenty,,,,,to,,,,,,,,,five,,,,,in,the,,,,afternoon,,
16:45:00,it,is,a,,,,quarter,,,to,,,,,,,,,five,,,,,in,the,,,,afternoon,,
16:50:00,it,is,,ten,,,,,,to,,,,,,,,,five,,,,,in,the,,,,afternoon,,
16:55:00,it,is,,,,five,,,,to,,,,,,,,,five,,,,,in,the,,,,afternoon,,
17:00:00,it,is,,,,,,,,,,,,,,,,,five,,,,oclock,in,the,,,,afternoon,,
17:05:00,it,is,,,,five,,,past,,,,,,,,,,five,,,,,in,the,,,,afternoon,,
17:10:00,it,is,,ten,,,,,past,,,,,,,,,,five,,,,,in,the,,,,afternoon,,
17:15:00,it,is,a,,,,quarter,,past,,,,,,,,,,five,,,,,in,the,,,,afternoon,,
