eeschema (2011-12-28 BZR 3254)-stable  >> Creation date: 2/13/2012 3:45:22 PM

#Cmp ( order = Reference )
| DIL6         P24       ; PROTO-6     
| DIL6         P25       ; PROTO-6     
| DIL6         P26       ; PROTO-6     
| DIL6         P27       ; PROTO-6     
| DIL6         P28       ; PROTO-6     
| DIL6         P29       ; PROTO-6     
| DIL6         P30       ; PROTO-6     
| DIL6         P31       ; PROTO-6     
| DIL6         P32       ; PROTO-6     
| DIL6         P33       ; PROTO-6     
| DIL6         P34       ; PROTO-6     
| DIL6         P35       ; PROTO-6     
| DIL6         P36       ; PROTO-6     
| DIL6         P37       ; PROTO-6     
| DIL6         P38       ; PROTO-6     
| DIL6         P39       ; PROTO-6     
| DS3231N      U6        ; DS3231      
| ENTER        SW5       ; SW_PB_V     ; P10884S-ND  
| ENTER        SW52      ; SW-PB-MOD   ; P10884S-ND  
| FacePlate    FP1       ; FacePlate   
| FRAME        FM1       ; Frame       
| FTDI         P7        ; pin_strip_6-90
| INC          SW1       ; SW_PB_V     ; P10884S-ND  
| INC          SW12      ; SW-PB-MOD   ; P10884S-ND  
| ISP          P13       ; pin_strip_3x2
| LDR          R32       ; pin_strip_2 
| LED          D1        ; led_5mm_clear
| LED          D2        ; led_5mm_clear
| LED          D3        ; led_5mm_clear
| LED          D4        ; led_5mm_clear
| LED          D5        ; led_5mm_clear
| LED          D6        ; led_5mm_clear
| LED          D7        ; led_5mm_clear
| LED          D8        ; led_5mm_clear
| LED          D9        ; led_5mm_clear
| LED          D10       ; led_5mm_clear
| LED          D11       ; led_5mm_clear
| LED          D12       ; led_5mm_clear
| LED          D13       ; led_5mm_clear
| LED          D14       ; led_5mm_clear
| LED          D15       ; led_5mm_clear
| LED          D16       ; led_5mm_clear
| LED          D17       ; led_5mm_clear
| LED          D18       ; led_5mm_clear
| LED          D19       ; led_5mm_clear
| LED          D20       ; led_5mm_clear
| LED          D21       ; led_5mm_clear
| LED          D22       ; led_5mm_clear
| LED          D23       ; led_5mm_clear
| LED          D24       ; led_5mm_clear
| LED          D25       ; led_5mm_clear
| LED          D26       ; led_5mm_clear
| LED          D27       ; led_5mm_clear
| LED          D28       ; led_5mm_clear
| LED          D29       ; led_5mm_clear
| LED          D30       ; led_5mm_clear
| LED          D31       ; led_5mm_clear
| LED          D32       ; led_5mm_clear
| LED          D33       ; led_5mm_clear
| LED          D34       ; led_5mm_clear
| LED          D35       ; led_5mm_clear
| LED          D36       ; led_5mm_clear
| LED          D37       ; led_5mm_clear
| LED          D38       ; led_5mm_clear
| LED          D39       ; led_5mm_clear
| LED          D40       ; led_5mm_clear
| LED          D41       ; led_5mm_clear
| LED          D42       ; led_5mm_clear
| LED          D43       ; led_5mm_clear
| LED          D44       ; led_5mm_clear
| LED          D45       ; led_5mm_clear
| LED          D46       ; led_5mm_clear
